station_name,address,operator,charging_types,payment_options,amenities,latitude,longitude,city,state
HP Super Service DC Charging Station,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",,,,,18.9285,72.8255,Mumbai,Maharashtra
Kohinoor Altissimo Residential Tower,"Kohinoor Altissimo Residential Tower, Kohinoor Altissimo, Kasaravadi, Dadar, Mumbai, Maharashtra 400028",,,,,19.0246,72.8402,Mumbai,Maharashtra
Evershine Mall Charging Station,"Chincholi Bunder Road, New Link Rd, Malad West, Mumbai, Maharashtra 400064",,,,,19.1798,72.8361,Mumbai,Maharashtra
Blue Tokai Coffee,"Unit 20-22, Laxmi Woollen Mill, Opposite Blue Loft, Dr E Moses Marg, Off, Shakti Mills Ln, Mahalakshmi, Mumbai",,,,,18.989356,72.825234,Mumbai,Maharashtra
Suba International,"Plot No. 211, Chakala, Sahar Rd, Opposite Cigarette Factory, Andheri East, Mumbai, Maharashtra",,,,,19.106207,72.860261,Mumbai,Maharashtra
MCGM Parking || Runwal Anthurium,"Runwal Anthurium Rd, opposite Veena Nagar, Vardhman Nagar, Mulund West",,,,,19.18066617,72.94684724,Mumbai,Maharashtra
Kabra Metro One,"14, JP Rd, Aram Nagar, Seven Bunglow, Andheri West",,,,,19.13030121,72.82229723,Mumbai,Maharashtra
MCGM Parking || Club Aquaria,"Devidas Lane, Shanti Ashram Borivali West, Near St.Lawrence High School, Mumbai, Maharashtra ,Borivali",,,,,19.2402364,72.8481819,Mumbai,Maharashtra
Lodha Florenza,"On Western Express Highway, adjacent to Hub Mall, Cama Industrial Estate, Goregaon, Mumbai, Maharashtra ,Goregaon",,,,,19.15381142,72.85579572,Mumbai,Maharashtra
K Star Chembur,"VN Purav Marg Diamond Garden, Basant Garden, Chembur Mumbai, Maharashtra,Chembur",,,,,19.05231631,72.90163581,Mumbai,Maharashtra
Kala Ghoda Cafe,"10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra",,,,,18.92845451,72.83203031,Mumbai,Maharashtra
Carnival Cinemas Imax,"Carnival Cinemas Imax, Anik Wadala Link Rd, Bhakti Park, Wadala, Mumbai, Maharashtra ,Worli",,,,,19.0313299,72.8809653,Mumbai,Maharashtra
Hotel Yogi Midtown,"Plot No DX 12,Thane - Belapur Road D' Zone Bonsari, Village, TTC Industrial Area, Turbhe, Navi Mumbai, Maharashtra ,Thane",,,,,19.0640261,73.01971543,Mumbai,Maharashtra
Kohinoor MCGM parking,"Kohinoor Square, Kasaravadi, Dadar, Mumbai, Maharashtra",,,,,19.02460889,72.84282021,Mumbai,Maharashtra
BMC Parking Runwal Greens,"Nahur West, Industrial Area, Bhandup West, Mumbai, Maharashtra",,,,,19.1593952,72.945112,Mumbai,Maharashtra
BMC Market Bhandup,"320, 3rd Floor, BMC Market, Station Road, Bhandup West, next to Dreamz Mall, Bhandup (W, Bhandup East, Mumbai, Maharashtra",,,,,19.14477582,72.93714663,Mumbai,Maharashtra
Lodha Venezia CPL,"GD Ambekar Marg, Lal Baug, Parel, Mumbai, Maharashtra",,,,,18.9917205,72.841513,Mumbai,Maharashtra
Magenta House - Mumbai,"TTC Industrial Area, MIDC Industrial Area, Sanpada, Navi Mumbai",,,,,19.06870454,73.02298692,Mumbai,Maharashtra
Vasant oasis,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",,,,,19.1146146,72.8840941,Mumbai,Maharashtra
Xavier Institute of Engineering,"Opposite S.L.Raheja Hospital, Mahim Causeway, Mahim (West), Raheja Hospital Marg, Mumbai, Maharashtra",,,,,19.04520829,72.84154175,Mumbai,Maharashtra
HOTEL REDWINGS CASTLE,"Near to Orion Mall/ New Panvel Bridge, Old, Mumbai - Pune Expy,",,,,,18.99453515,73.11513242,Mumbai,Maharashtra
Hotel Om Navratna,"1/766, Old Mumbai Pune Highway, Near Agarwal Movers & Packers Ltd, at post Chouk",,,,,18.9014249,73.23657885,Mumbai,Maharashtra
Hotel Rasraj Parking Zone,"Gaurav Automobile Compound, ,Ramnath Rd, opp. BVM Multiplex,",,,,,18.6509967,72.87407092,Mumbai,Maharashtra
Ather Space Thane,"Shop No. 4, Mansarovar, Opp. TMC Building, Almeda Rd,",,,,,19.1981177,72.96741506,Mumbai,Maharashtra
"IOCL Kini Causway, Bandra","36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",,,,,19.051601,72.838011,Mumbai,Maharashtra
"Brookfield, Powai","Spectra, High St, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",,,,,19.11637,72.91086,Mumbai,Maharashtra
"Brookfield, Powai","Pay & Park, Central Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",,,,,19.11644,72.90968,Mumbai,Maharashtra
"Oberoi Mall, Goregaon","Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063",,,,,19.1737611,72.8600172,Mumbai,Maharashtra
"Trimurti Petroleum, Panvel","GUT NO.151/2, VILLAGE - AJIVALI, TALUKA - PANVEL, RAIGAD, AJIVALI, 410216",,,,,18.9563188,73.1626506,Mumbai,Maharashtra
"Hotel Suba International, Andheri East","Saharu00c2u00a0 Road, Near Cigarret Factory, Chakala, Andheri East Mumbai 400099",,,,,19.1063175,72.8603219,Mumbai,Maharashtra
"Hotel Suba Galaxy, Andheri East","NS Phadake Marg, Opp Teli galli,Near Eastern expres Highway, Andheri East Mumbai 400069u00c2u00a0",,,,,19.1142415,72.8518766,Mumbai,Maharashtra
"Hotel Suba Palace, Fort","Apppllo Bunder Road, Near Gate way of India, fortu00c2u00a0 Mumbai 400039",,,,,18.9241214,72.8328155,Mumbai,Maharashtra
Volltic PCS04,"Gala No14 A, KBM compound, military road, raje shivaji nagar, marol, andheri east, 400072",,,,,19.12012455,72.88724762,Mumbai,Maharashtra
Vijay Securities,"35, Chandivali, Off, Saki Vihar Rd, Andheri (E, Mumbai, 400072",,,,,19.10514321,72.8869012,Mumbai,Maharashtra
Masstech controls Pvt ltd,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",,,,,19.17674569,72.94574801,Mumbai,Maharashtra
Lifeon Industries,"D298, TTC Industrial area, turbhe",,,,,19.06895357,73.02251015,Mumbai,Maharashtra
MH|MUMBAI|POWAI#HIRANANDANI GARDENS,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",,,,,19.11999443,72.9141036,Mumbai,Maharashtra
MH|TALASARI|HOTEL SAHYADRI,"HOTEL SAHYADRI,TALASARI,AJMER ROAD,ACHAD,MAHARASHTRA 401606",,,,,20.22117727,72.88122971,Mumbai,Maharashtra
"CR - Bhandup Station, Bhandup East","Bhandup Station East, near Kotak Mahindra ATM, Bhandup, Bhandup East, Mumbai, Maharashtra 400042",,,,,19.1420246,72.937755,Mumbai,Maharashtra
MH|MUMBAI|POWAI#HIRANANDANI GARDENS,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",,,,,19.12,72.9141,Mumbai,Maharashtra
MH|TALASARI|HOTEL SAHYADRI,"HOTEL SAHYADRI,TALASARI,AJMER ROAD,ACHAD,MAHARASHTRA 401606",,,,,20.2212,72.8812,Mumbai,Maharashtra
"Ginger Mumbai, Andheri East","Teli - Gali Road, Andheri (East), Mumbai - 400069",,,,,19.11599,72.85018,Mumbai,Maharashtra
"Tata Power RS, Versova","KL Walawalkar Marg, Sahayog Nagar, Bhudargarh Colony, Andheri West, Mumbai, Maharashtra 400102",,,,,19.13052,72.83056,Mumbai,Maharashtra
"Inderjit Cars, Andheri West","1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",,,,,19.14207,72.83241,Mumbai,Maharashtra
"Tata Power, Vikhroli","The Tata Power Company Limited, 400 kV Project, Vikhroli Sub Station, Godrej Soap Premises, Vikhroli (East), Mumbai 400079",,,,,19.095269,72.926195,Mumbai,Maharashtra
"Godrej One, Vikhroli","4 Wheeler Parking area Godrej One Pirojshanagar, Eastern Express Highway, Vikhroli u00e2u0080u0093 East, Mumbai u00e2u0080u0093 400079",,,,,19.0925655,72.9223514,Mumbai,Maharashtra
"IOCL, Breach Candy","Bhulabhai Desai Road, Breach Candy, near Tata Garden, Mumbai, Maharashtra 400026",,,,,18.96555,72.80346,Mumbai,Maharashtra
"Puneet, Prabadevi","Lloyds Centre Point, Appasaheb Marathe Marg, Dadar West, Prabhadevi, Mumbai, Maharashtra 400025",,,,,19.01296,72.82652,Mumbai,Maharashtra
"IOCL - COCO, Prabhadevi","Plot No, P. N. 1207, CADELL RD. MUMBAI, PRABHADEVI CADEL RD., MUMBAI - 400022",,,,,19.018857,72.831076,Mumbai,Maharashtra
"Tata Power, Dharavi Colony","Tata Power Dharavi Colony labour camp dharavi ,Matunga ,Mumbai 400019",,,,,19.034402,72.85284,Mumbai,Maharashtra
"Nathani Heights, Mumbai Central","Junction of Bellasis Road and Dr D.B. Marg , Mumbai Central, Mumbai 400008",,,,,18.9688627,72.8207138,Mumbai,Maharashtra
"CSMT Station, Fort","Chhatrapati Shivaji Maharaj Terminus, Fort, Mumbai, Maharashtra 400001",,,,,18.9453551,72.8383287,Mumbai,Maharashtra
"Mahanagar Gas Limited, Wadala","MGL Terminal, opposite Anik Depot, Wadala, Mumbai, Maharashtra 400022",,,,,19.0472567,72.8783829,Mumbai,Maharashtra
"IOCL COCO, BKC","Bandra Kurla Complex, New Coco At, C-67, Bharat Nagar Rd, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",,,,,19.0599578,72.8647916,Mumbai,Maharashtra
"Zenith Chemical Works Pvt Ltd, Andheri East","Zenith Chemical Works Pvt Ltd. Plot No. B.6, Cross Road B, MIDC Marol, Andheri East residing at Mumbai-400093",,,,,19.1157451,72.8682563,Mumbai,Maharashtra
"IOCL Kini Causway, Bandra West","36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",,,,,19.051601,72.838011,Mumbai,Maharashtra
"Hare Krishna Mahindra, Mulund West","Building, Plot 1, Udyog Kshtra, Mulund Goregaon Link Rd, near D Mart Mulund, Salpa Devi Pada, Mulund West, Mumbai, Maharashtra 400080",,,,,19.163979,72.938751,Mumbai,Maharashtra
"Magenta TTC, Turbhe","Magenta House, D-285, TTC Industrial Area, nTurbhe, Near Unitech Motors, Navi Mumbai, Maharashtra",,,,,19.0685788,73.022744,Mumbai,Maharashtra
Xavier Institute of Engineering,"Opposite S.L.Raheja Hospital, Mahim nCauseway, Mahim (West), Raheja Hospital nMarg, Mumbai, Maharashtra 400016",,,,,19.04527839,72.84168159,Mumbai,Maharashtra
Charge Zone,"MH | Mumbai | The Westin Mumbai Powai Lake,The Westin Mumbai Powai Lake Kailash Nagar, Morarji Nagar, Powai, Mumbai, Maharashtra 400076",,,,,19.133659,72.900817,Mumbai,Maharashtra
Charge Zone,"MH | Mumbai | NSCI - Worli,NSCI, Lala Lajpatrai Marg, Lotus Colony, Worli, Mumbai, Maharashtra 400018",,,,,18.9862222,72.8149436,Mumbai,Maharashtra
Tata Power,"Fortune Cars, Navi Mumbai, Plot No. D-400, TTC Industrial Area, MIDC, Near Uran Phata Signal, Nerul, Navi Mumbai, Maharashtra - 400706",,,,,19.03639,73.029907,Mumbai,Maharashtra
Tata Power,"The Taj Mahal Palace, Colaba, In front of Times Building , Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",,,,,18.92279506,72.83351898,Mumbai,Maharashtra
Tata Power,"Seven Hills Hospital, Andheri East, SevenHills Health City, Marol Maroshi Road, Andheri East, Mumbai, Maharashtra 400059",,,,,19.118831,72.87823,Mumbai,Maharashtra
Tata Power,"IOCL Sahara Hospitality, Vile Parle, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",,,,,19.094122,72.85223,Mumbai,Maharashtra
Tata Power,"CR - Lokmanya Tilak Station, Kurla, Outside Platform 1, Beside LTT Pay and Park, LTT Station, Pipeline Rd, Tilak Nagar, Kurla, Mumbai, Maharashtra 400089",,,,,19.068262,72.890964,Mumbai,Maharashtra
